# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1603631,260.072458153691,7,411,0,128,56,67946,157720,5368,9720,144369,409262,0,410.186281000001,20604,30777,227503,446844,0,253574,485787,68074,410.186281000001,81963,82,42.34,54.71,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,212.420624003748,6,367,0,4,56,24482,153701,57184,120989,10503,23278,0,326.4926233,23816,32330,172157,318386,0,215055,387838,24486,326.4926233,89711,38,68.55,80.65,100,NA
2025-2026,April,02,ANDHRA PRADESH,0221,NANDYAL,979833,165.310471614026,6,360,0,34,146,42305,216533,60342,109986,13108,13497,0,357.9517235,33479,48974,205758,397625,0,271165,507456,42339,357.9517235,125128,41,72.05,93.15,100,NA
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,254.824214834573,6,224,0,71,68,37159,163456,33101,66721,5788,12597,0,416.5254686,24448,32613,196236,339454,0,251905,424242,37230,416.5254686,95354,57,51.28,64.92,100,NA
2025-2026,April,02,ANDHRA PRADESH,0201,SRIKAKULAM,2725348,227.633039304695,4,1476,0,434,151,49399,376698,35577,58806,23557,39335,0,857.489106399999,76227,90821,370383,654177,0,440675,749564,49833,857.489106399999,279101,46,24.83,39.85,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,281.799482013432,4,46,0,43,113,16649,15039,7666,69344,281,5531,0,42.3798241,3401,4397,87922,154135,0,136440,228600,16692,42.3798241,8145,48,90.35,1.37,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,256.261927350545,4,161,0,82,392,51726,72898,17673,136333,2980,29269,0,186.8098198,15529,19329,268040,469198,0,358950,607593,51808,186.8098198,46786,41,39.86,16.55,100,NA
2025-2026,April,02,ANDHRA PRADESH,0204,EAST GODAVARI,466076,277.813939233135,4,441,0,860,64,21385,73494,26907,71149,1374,3215,0,204.1765765,16135,17752,122662,196068,0,168910,260581,22245,204.1765765,40794,50,37.56,37.37,100,NA
2025-2026,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,283320,272.368104248947,5,145,0,560,176,24941,69123,19142,62190,716,1797,0,188.2690047,12887,16112,131787,227495,0,185210,304572,25501,188.2690047,40793,42,74.11,3.57,100,NA
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,273.444635984245,6,184,0,319,132,50903,102317,26000,109153,3130,13399,5,284.7803482,16278,21319,206556,382868,0,274755,493186,51222,279.7803482,62869,63,55.82,15.33,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,287.631875276002,5,178,0,34,283,49009,52083,7804,93365,2533,17276,0,149.8073096,8754,13089,250247,471614,0,321910,598204,49043,149.8073096,29050,50,48.58,23.39,100,NA
2025-2026,April,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,1603631,274.317472895408,6,275,0,109,85,66731,87808,2576,9712,81301,408885,0,240.8726866,13835,19918,227272,446438,0,253436,485536,66840,240.8726866,46157,82,36.9,13.61,100,NA
2025-2026,April,02,ANDHRA PRADESH,0217,ELURU,1171783,298.072856509469,5,294,0,262,178,40693,117283,36011,201120,9921,52763,0,349.588788300001,22602,29771,310830,579296,0,379499,684349,40955,349.588788300001,70633,44,45.36,20.37,100,NA
2025-2026,April,02,ANDHRA PRADESH,0218,NTR,366507,321.411777614005,4,224,0,4,60,24368,66488,25762,120887,5037,23237,0,213.7002627,14572,19242,171895,317864,0,215023,387744,24372,213.7002627,38386,38,60.03,8.49,100,NA
2025-2026,April,02,ANDHRA PRADESH,0223,ANNAMAYYA,700410,275.870589314457,5,188,0,65,89,36788,115558,23098,66690,3564,12587,0,318.7905356,19528,26266,196124,339222,0,251810,424013,36853,318.7905356,66297,57,45.37,14.36,100,NA
